id, ra, dec, zspec
ERO-s06355      , 110.8267392, -73.4537444, 7.6651
GLASS-100001    ,   3.6038450, -30.3822350, 7.8737
GLASS-150029    ,   3.5771664, -30.4225760, 4.5837
GLASS-160133    ,   3.5802754, -30.4244040, 4.0150
CEERS-P4M-00397 , 214.8361970,  52.8826930, 6.0005
CEERS-P4M-00403 , 214.8289680,  52.8757010, 5.7609
CEERS-P7M-01401 , 215.2458005,  53.0652953, 5.3749
CEERS-P7M-01677 , 215.1887384,  53.0643782, 5.8670
CEERS-P8M-01173 , 215.1542076,  52.9558470, 4.9957
CEERS-P8M-01605 , 215.0754073,  52.9975786, 4.6309
CEERS-P9M-01019 , 215.0353914,  52.8906618, 8.6791
CEERS-P9M-01539 , 214.9800779,  52.9426590, 4.8841
CEERS-P9M-01658 , 214.9852372,  52.9242590, 4.6038
CEERS-P10M-01374, 214.9439110,  52.8500419, 4.9999
