id,NIRCam_ID,ra,dec,zspec,z_Spec_flag,z_PRISM
00002773,96216,53.16634414,-27.82155851,12.63,C,-1.0
00008013,110748,53.16446646,-27.80218658,8.473,A,8.479
10014170,129399,53.16337248,-27.77568524,-1.0,NA,-1.0
10014220,130158,53.16476326,-27.77462281,11.668,C,-1.0
10058975,-1,53.112434,-27.774609,9.433,A,9.438
00017400,128771,53.14988186,-27.77650239,13.2,C,-1.0
00006438,107324,53.16735579,-27.80750892,9.689,B,9.689
00007300,201084,53.12365337,-27.80453926,-1.0,NA,-1.0
00006621,-1,53.1141469,-27.8069446,-1.0,NA,-1.0
10014177,131067,53.15883336,-27.77349458,10.409,C,-1.0
00009992,114654,53.11392114,-27.79584467,1.962,C,-1.0
00004404,101990,53.11537912,-27.81477397,5.763,A,5.775
00006002,106292,53.11041665,-27.8089242,5.937,A,5.941
00009422,113585,53.12175707,-27.79763805,5.936,A,5.943
00016625,127219,53.16904693,-27.77883413,6.631,A,6.631
00016745,208642,53.13005097,-27.7783887,5.567,A,5.574
00018846,131688,53.1349181,-27.77271095,6.335,A,6.342
00018976,131971,53.16660191,-27.77240241,6.327,A,6.329
00022251,138571,53.15407219,-27.76607209,5.798,A,5.804
10013618,-1,53.119112,-27.760802,5.944,A,5.948
10013620,-1,53.12259,-27.760569,5.918,A,5.92
10013704,197348,53.12653826,-27.8180903,5.92,A,5.931
10013905,-1,53.1183267,-27.7690101,7.197,A,7.206
00005192,104184,53.11806886,-27.81188217,-1.0,NA,-1.0
00017566,209276,53.15610101,-27.77588137,6.102,A,6.105
00019466,133001,53.12581286,-27.771374,-1.0,NA,-1.0
00019606,210963,53.17656818,-27.77113109,5.889,A,5.891
10035328,-1,53.1055827,-27.8151065,-1.0,NA,-1.0
00004297,101683,53.15579369,-27.81520893,6.713,A,6.718
00006384,200272,53.13057817,-27.80772193,5.615,A,5.614
10013609,-1,53.117303,-27.764082,6.929,A,6.931
00004493,198459,53.11912296,-27.81403818,3.592,B,3.592
10008071,-1,53.15446,-27.771433,2.227,A,2.224
10036017,200002,53.10596159,-27.80847193,2.016,B,2.016
10036834,-1,53.1108475,-27.8006592,2.616,B,2.616
10011974,-1,53.12114,-27.7746931,2.225,A,2.235
00003137,97705,53.14506858,-27.82000236,1.904,A,1.908
00003334,197088,53.15138081,-27.81916478,6.706,A,6.709
00008079,110895,53.15283638,-27.80194624,7.26,B,7.26
00008115,110996,53.15507988,-27.80177604,7.3,C,-1.0
00018179,130262,53.17581795,-27.7744756,6.335,B,6.335
00019342,132780,53.16062299,-27.77161072,5.974,A,5.981
00020961,135819,53.13422989,-27.76891638,7.045,A,7.051
00021842,137667,53.15682699,-27.76716182,7.98,A,7.981
10005113,110319,53.1673024,-27.802874,5.821,A,5.82
00008113,110987,53.12300185,-27.80175913,4.903,A,4.9
00017260,209065,53.12688825,-27.77689605,4.885,A,4.888
10013682,210625,53.16744851,-27.7720341,7.275,A,7.277
10014117,127202,53.15997388,-27.77887737,-1.0,NA,-1.0
00003968,100678,53.1450525,-27.81643045,5.768,A,5.769
10005447,135407,53.16287726,-27.76929604,6.623,A,6.627
10009693,110061,53.16237708,-27.80330572,6.286,A,6.296
00005293,104443,53.12606479,-27.8114835,-1.0,NA,-1.0
00004270,198153,53.16872839,-27.81514261,4.023,A,4.022
00022012,138090,53.13755899,-27.7666192,-1.0,NA,-1.0
00004009,197791,53.15706645,-27.81630481,4.864,B,4.864
00005457,104855,53.11667673,-27.81093173,4.864,A,4.87
00005759,105635,53.14946161,-27.80979676,5.052,A,5.047
00006246,106885,53.12972633,-27.80818027,5.562,A,5.57
00007938,201730,53.16268168,-27.80237385,4.806,A,4.815
00008083,110905,53.13284528,-27.80185998,4.649,A,4.665
00009743,114213,53.12300586,-27.79661481,5.44,A,5.452
00017072,208919,53.17023827,-27.77738478,4.702,A,4.713
00018970,210435,53.15650795,-27.77225319,3.725,A,3.725
10001892,229230,53.15829346,-27.79824897,4.772,A,4.766
10005217,-1,53.1735144,-27.7718673,4.888,A,4.895
10011987,209291,53.15139383,-27.77488409,-1.0,NA,-1.0
10012170,-1,53.1249902,-27.7702179,-1.0,NA,-1.0
10015338,-1,53.115345,-27.7728935,5.077,A,5.073
10016374,-1,53.115717,-27.7749551,5.504,A,5.507
10056849,-1,53.1135113,-27.7728361,5.814,A,5.822
00004902,103366,53.11853107,-27.81297044,5.123,B,5.123
00005076,199002,53.11265286,-27.8121928,4.498,B,4.498
00018090,209707,53.16719489,-27.77459121,4.775,A,4.786
10013385,139304,53.13846312,-27.76524828,-1.0,NA,-1.0
00007304,265378,53.16080857,-27.80454362,4.49,B,4.49
00009343,113461,53.1287366,-27.79787502,5.443,A,-1.0
00009452,203112,53.11583698,-27.7975512,5.122,A,5.133
00003892,197652,53.16255521,-27.81660988,2.807,A,2.812
00007762,110238,53.11332487,-27.80299505,4.149,A,4.146
00007809,201597,53.12973043,-27.80273312,3.578,A,3.598
00007892,201680,53.15002431,-27.80249599,4.229,A,4.245
00017777,129506,53.16743175,-27.77547481,4.134,A,4.143
00018028,129965,53.12868842,-27.77482444,3.731,A,3.734
00019519,133114,53.16608663,-27.77126318,3.605,A,3.613
00022924,140119,53.15255816,-27.76402892,3.711,B,3.711
10005367,202949,53.1498222,-27.79805683,-1.0,NA,-1.0
10009506,200717,53.15301798,-27.80607866,3.599,A,3.599
10009609,130754,53.17152993,-27.77386921,-1.0,NA,-1.0
10013578,-1,53.1187515,-27.7781115,4.022,B,4.022
10013774,102696,53.1234748,-27.81387936,-1.0,NA,-1.0
10013797,209966,53.13030923,-27.77298314,-1.0,NA,-1.0
10016186,-1,53.1169474,-27.8028308,3.928,A,3.94
10036262,200730,53.10741388,-27.80536291,3.566,C,-1.0
00002651,95566,53.15457516,-27.82221019,3.581,B,3.581
00004197,198054,53.14773076,-27.81555025,-1.0,NA,-1.0
00004282,198157,53.12050316,-27.81524548,3.597,B,3.597
00005329,104513,53.12276228,-27.81134878,3.587,A,3.591
00006519,107462,53.15832655,-27.80724074,4.238,B,4.238
00007507,109645,53.15548607,-27.80389054,4.044,A,4.039
10000626,103349,53.14699996,-27.81303078,4.464,A,4.468
10000814,105437,53.16907486,-27.81011436,-1.0,NA,-1.0
10013545,202385,53.1241268,-27.79913359,4.035,A,-1.0
00006460,200339,53.1280943,-27.8074031,3.573,C,-1.0
00008073,110878,53.15119725,-27.80195125,4.393,B,4.393
10000219,96853,53.16564747,-27.82092222,-1.0,NA,-1.0
10009848,208744,53.16139356,-27.77801195,-1.0,NA,-1.0
10015193,-1,53.1088918,-27.7983976,3.956,B,3.956
10015344,-1,53.1143752,-27.7715837,4.032,B,4.032
00003184,196893,53.15012783,-27.81971474,3.468,A,3.472
00003322,98452,53.12574741,-27.8192111,3.403,B,3.403
00003473,99026,53.1554138,-27.81847162,2.717,B,2.717
00004413,102014,53.16361278,-27.81465361,2.982,B,2.982
00005251,104337,53.129955,-27.81161306,-1.0,NA,-1.0
00005686,105443,53.11846525,-27.81008435,2.819,A,2.824
00005825,105855,53.12362322,-27.80952381,2.715,B,2.715
00006855,108201,53.1685555,-27.80615001,2.868,C,-1.0
00007099,108715,53.11378011,-27.80523111,2.858,B,2.858
00007624,201433,53.1515998,-27.80340884,4.853,B,4.853
00007629,201442,53.16983457,-27.80344395,3.456,B,3.456
00008102,110950,53.16343974,-27.80183122,2.84,A,2.83
00016478,126938,53.15230694,-27.77932623,3.252,B,3.252
00017670,209348,53.12506636,-27.77571325,2.343,A,2.352
00017824,129585,53.13666904,-27.77536936,2.693,A,2.71
00017832,129603,53.17661279,-27.77535037,2.832,C,-1.0
00018322,130539,53.13170904,-27.77412426,3.151,A,3.157
00019431,210857,53.16292319,-27.77141141,3.32,A,3.32
00020313,134521,53.15831502,-27.77006859,2.845,A,2.854
10000085,93579,53.16286455,-27.82422227,-1.0,NA,-1.0
10000478,-1,53.146837,-27.8160271,2.851,B,2.851
10000483,197887,53.15516751,-27.81595155,2.771,B,2.771
10001761,202439,53.16004121,-27.79962141,2.787,B,2.787
10006084,-1,53.1611311,-27.8032356,2.815,C,-1.0
10011849,-1,53.1200463,-27.7778565,2.694,A,2.687
10013597,-1,53.1232485,-27.7693941,3.323,A,3.318
10035295,198071,53.11432774,-27.81549157,3.589,A,3.581
00002332,195580,53.15724265,-27.82377682,-1.0,NA,-1.0
00002528,95007,53.16175426,-27.82281407,2.345,C,-1.0
00002923,96861,53.15408101,-27.82094095,3.015,A,3.014
00004394,101950,53.10825224,-27.81483198,2.652,B,2.652
00005040,198974,53.16795629,-27.81239114,2.981,B,2.981
00016996,127922,53.15785303,-27.7776211,2.776,A,2.778
00021150,211968,53.16995203,-27.76844031,3.088,A,3.086
00021232,212006,53.13001547,-27.76840561,-1.0,NA,-1.0
10004721,-1,53.1642186,-27.8248074,3.064,A,3.072
10009382,213263,53.15495581,-27.76418257,-1.0,NA,-1.0
10011378,202483,53.11932525,-27.79903029,2.577,A,2.591
10012081,210585,53.13024563,-27.77203967,-1.0,NA,-1.0
10012344,-1,53.1621732,-27.7669095,-1.0,NA,-1.0
10016442,-1,53.1159266,-27.7586102,2.878,B,2.878
00010040,267365,53.12304865,-27.79565138,3.154,A,3.146
10000633,103467,53.15693727,-27.81285891,-1.0,NA,-1.0
10004819,201851,53.14838679,-27.80167508,2.991,A,2.994
10011980,-1,53.1217139,-27.7741672,2.867,A,2.877
00003321,98442,53.1292721,-27.81922984,1.838,B,1.838
00003803,100140,53.14749646,-27.81711848,1.136,B,1.136
00003944,100625,53.12430182,-27.81654043,-1.0,NA,-1.0
00006268,106937,53.10793566,-27.8081019,2.024,A,2.023
00006349,200216,53.1558515,-27.80769582,1.739,B,1.739
00008456,111661,53.12608752,-27.80070693,1.882,B,1.882
00008531,111810,53.16057539,-27.8004739,-1.0,NA,-1.0
00008718,202404,53.14613871,-27.79973426,1.872,B,1.872
00008891,112526,53.11339495,-27.79923955,1.997,A,2.002
00008896,112538,53.15895503,-27.79925201,1.99,B,1.99
00017435,128845,53.16838736,-27.77631182,1.727,A,1.729
00019782,133596,53.12707634,-27.7708569,2.305,B,2.305
00020962,211846,53.13347747,-27.76890848,1.806,A,1.796
00021598,137160,53.15607734,-27.76765448,1.715,A,1.715
10000098,-1,53.1572217,-27.8238581,2.903,B,2.903
10010639,196292,53.14913685,-27.82077738,2.621,C,-1.0
10011955,-1,53.121156,-27.775124,2.228,A,2.233
10012194,-1,53.1241243,-27.7695901,1.946,B,1.946
10012511,-1,53.1204979,-27.7627614,-1.0,NA,-1.0
00003753,197522,53.11238686,-27.81718249,1.768,A,1.772
00004080,101041,53.12895752,-27.81601214,-1.0,NA,-1.0
00004175,198014,53.12133044,-27.81563315,-1.0,NA,-1.0
00005320,104495,53.10808614,-27.81139654,2.305,C,-1.0
00006710,107900,53.16497103,-27.80653491,2.249,C,-1.0
00007523,109666,53.15790706,-27.80384442,-1.0,NA,-1.0
00008784,112321,53.12234608,-27.79959583,2.343,A,2.345
00008916,112596,53.11537006,-27.79916762,-1.0,NA,-1.0
00009991,203496,53.1154362,-27.79581857,-1.0,NA,-1.0
00017160,128275,53.16241445,-27.77716179,1.85,A,1.863
00019607,210970,53.16003143,-27.77108621,1.847,A,1.85
00022078,138181,53.15356488,-27.76650523,1.611,A,1.616
00023431,-1,53.1330484,-27.7624209,1.769,B,1.769
10001843,112864,53.12965808,-27.79875415,-1.0,NA,-1.0
10001946,113523,53.12568521,-27.79779414,-1.0,NA,-1.0
10008722,199579,53.15527019,-27.80984677,1.742,C,-1.0
10010691,196937,53.14881187,-27.81958636,1.968,C,-1.0
10012005,-1,53.1203152,-27.7746641,1.864,A,1.863
10037047,203096,53.11077588,-27.79705975,2.058,C,-1.0
10037201,-1,53.1089237,-27.7950953,-1.0,NA,-1.0
10040620,-1,53.1165476,-27.7620625,1.793,B,1.793
10008231,209219,53.16775896,-27.77595102,-1.0,NA,-1.0
00003520,99224,53.1267821,-27.81828039,2.469,B,2.469
00004168,101309,53.148399,-27.81567301,1.44,B,1.44
00004950,103504,53.15016913,-27.81277354,1.781,A,1.774
10000338,99169,53.16155854,-27.8183592,-1.0,NA,-1.0
10038972,-1,53.1149862,-27.7776246,-1.0,NA,-1.0
00002375,94222,53.15944676,-27.82347197,-1.0,NA,-1.0
00004668,102747,53.10814384,-27.81382496,2.649,C,-1.0
00008245,111269,53.16541828,-27.80134894,3.065,A,3.072
00008880,112500,53.12724775,-27.7993192,2.342,A,-1.0
00017251,128470,53.12765483,-27.77695543,5.043,C,-1.0
10000081,93440,53.16021748,-27.82433831,2.712,C,-1.0
10001283,263504,53.14791824,-27.804977,-1.0,NA,-1.0
10001568,110915,53.1286456,-27.80191819,-1.0,NA,-1.0
10001587,111112,53.17133657,-27.80156566,3.438,B,3.438
10003750,-1,53.1583715,-27.7791834,-1.0,NA,-1.0
10003788,139168,53.1626682,-27.76541832,-1.0,NA,-1.0
10003811,138790,53.1547059,-27.76588445,3.429,B,3.429
10008067,134039,53.15754513,-27.7704835,-1.0,NA,-1.0
00019175,132441,53.13283905,-27.77196343,2.556,C,-1.0
10000183,263214,53.15556603,-27.8217733,-1.0,NA,-1.0
10000618,103332,53.15851403,-27.81304237,-1.0,NA,-1.0
10001697,265471,53.16031639,-27.80035516,-1.0,NA,-1.0
10000160,95368,53.16191191,-27.82247629,-1.0,NA,-1.0
10005469,129077,53.17338404,-27.77610372,-1.0,NA,-1.0
10009320,111668,53.15623698,-27.80073619,5.06,B,5.06
10011388,113404,53.15253435,-27.79798204,-1.0,NA,-1.0
10000966,200130,53.1550585,-27.80813456,-1.0,NA,-1.0
10010642,196444,53.14306437,-27.82075981,1.902,A,1.904
10012477,-1,53.1225765,-27.7637332,0.67,A,0.669
10012493,-1,53.1302011,-27.7632263,-1.0,NA,-1.0
10012552,-1,53.1238642,-27.7616196,-1.0,NA,-1.0
10012566,-1,53.1215167,-27.7613256,0.656,B,0.656
10012669,-1,53.1181932,-27.759497,1.894,B,1.894
10013393,-1,53.1279854,-27.7613566,-1.0,NA,-1.0
10040868,-1,53.1162586,-27.759268,1.115,C,-1.0
10104786,-1,53.1176874,-27.775775,-1.0,NA,-1.0
10012284,-1,53.1197731,-27.7679094,1.306,A,1.317
10012488,-1,53.1301701,-27.7633862,1.716,B,1.716
10012616,-1,53.1231883,-27.7604338,1.097,A,1.098
10012655,-1,53.1185832,-27.7597629,-1.0,NA,-1.0
10104696,-1,53.1265554,-27.8025811,-1.0,NA,-1.0
00010073,114790,53.11332743,-27.79560121,2.634,B,2.634
10010770,99643,53.1207292,-27.81771172,1.295,A,1.32
10004061,133923,53.17435797,-27.77056013,-1.0,NA,-1.0
10000796,105250,53.16740108,-27.81036753,-1.0,NA,-1.0
10004398,127293,53.13632132,-27.77871583,-1.0,NA,-1.0
10000625,103356,53.15699977,-27.81301549,-1.0,NA,-1.0
10105275,-1,53.1526604,-27.8157062,-1.0,NA,-1.0
10106241,93232,53.15884187,-27.82457873,-1.0,NA,-1.0
10106467,-1,53.1197967,-27.7962189,-1.0,NA,-1.0
10001916,113342,53.13227548,-27.79811221,4.283,A,4.283
10101728,-1,53.110361,-27.81454,-1.0,NA,-1.0
10105256,-1,53.1599236,-27.817873,-1.0,NA,-1.0
10106242,-1,53.1663284,-27.8245201,-1.0,NA,-1.0
10106443,-1,53.1207542,-27.7980213,-1.0,NA,-1.0
10106979,-1,53.1639754,-27.7995717,-1.0,NA,-1.0
10000367,99653,53.1523066,-27.81777602,-1.0,NA,-1.0
10106944,-1,53.1644476,-27.8193718,-1.0,NA,-1.0
