id, ra, dec, zphot
 571	, 3.592423, -30.432824, 5.50
1967	, 3.619200, -30.423270, 6.01
2476	, 3.610205, -30.421001, 4.56
2940	, 3.575989, -30.419030, 4.47
3016	, 3.598798, -30.418733, 4.54
5957	, 3.556703, -30.408192, 3.52
6151	, 3.567758, -30.407272, 4.45
6430	, 3.550837, -30.406598, 4.98
8296	, 3.579829, -30.401569, 6.80
8602	, 3.612511, -30.400595, 6.51
8798	, 3.620605, -30.399950, 6.44
9992	, 3.583536, -30.396676, 6.79
10148	, 3.545794, -30.395724, 4.96
10712	, 3.597201, -30.394328, 6.77
13556	, 3.640410, -30.386436, 5.17
15798	, 3.535308, -30.381010, 6.44
16561	, 3.567022, -30.379719, 6.34
20080	, 3.569595, -30.373224, 5.52
21860	, 3.537529, -30.370169, 5.46
23778	, 3.546420, -30.366245, 7.02
28343	, 3.530008, -30.358013, 4.95
29466	, 3.513891, -30.356024, 7.22
30782	, 3.533997, -30.353311, 6.74
31142	, 3.498841, -30.352945, 4.81
31298	, 3.472870, -30.352132, 4.82
34061	, 3.506421, -30.345969, 6.64
35771	, 3.525296, -30.342213, 4.30
35819	, 3.473941, -30.342061, 4.59
35927	, 3.510632, -30.341969, 4.66
36867	, 3.465764, -30.339833, 4.78
37108	, 3.569464, -30.339305, 3.01
39955	, 3.475879, -30.332051, 3.64
46991	, 3.466191, -30.315301, 4.79
49555	, 3.470405, -30.302487, 3.40
49567	, 3.472454, -30.302163, 3.05
