id,ra,dec,zspec
2422,214.9887087,52.9886209,3.47237
2508,214.8769394,52.860389,2.28555
2668,215.0014937,52.9440857,2.8995
2693,215.0693519,52.9587942,3.66996
2696,215.1737646,53.0309019,3.35653
2754,215.1681744,53.0510583,2.24029
2900,215.1386231,53.0010372,1.90098
2904,215.0480768,52.9683408,2.02587
2919,214.8858653,52.8397198,1.71858
3129,215.0541793,52.9259103,1.038
3145,214.9497648,52.8687158,2.01586
3187,214.8928069,52.8593413,1.49025
3223,215.0727739,53.0118751,2.28746
3476,215.045403,52.8945741,1.742
3501,215.0461715,52.9128179,2.61279
3506,215.1562782,53.0598994,2.05645
3535,215.0501247,52.9419605,2.4897
3537,215.1436274,53.0048024,2.1629
3706,215.1326704,52.9768079,2.03742
3788,214.8907857,52.8686992,2.29607
3838,214.8984667,52.8616676,1.92272
4385,215.179599,53.0620667,3.42294
4386,215.0676151,52.9843298,2.37221
4402,215.0559956,53.004531,3.33086
4680,215.2304288,53.0673957,1.90139
4768,215.2333809,53.0738011,1.58956
5106,214.9095971,52.8802025,2.1443
5113,214.9692881,52.9275762,1.40202
5117,215.0659987,52.9982025,1.5737
5251,214.9527213,52.827931,3.10858
5300,214.9665098,52.8466679,2.13739
5362,214.9426659,52.8299741,1.71728
5409,214.8681252,52.8388596,1.69948
5413,215.0723474,52.9891068,1.73446
5430,214.9713251,52.9320531,1.67677
5582,215.0355582,52.9466806,2.18534
5632,215.0625372,52.994959,2.5314
6265,215.1375882,53.0031231,-9.0
6540,215.1252465,53.0048165,1.57724
6563,214.9401821,52.8360254,1.69987
6649,215.21636,53.0237355,1.68635
6689,214.9377543,52.8264538,1.4611
7975,215.1300978,52.9538268,2.74263
8041,214.9680391,52.8429609,1.63076
8110,215.0486679,52.9034212,1.56729
8299,215.1519541,52.9927709,2.15748
8515,215.0595679,52.9434344,1.56826
8588,214.9111703,52.8430445,2.33705
8710,214.8815588,52.8306337,2.33773
8736,214.8855555,52.8350433,1.55506
8971,215.1552459,53.0488005,1.5741
9025,214.891632,52.8656302,1.65152
9052,215.0741135,52.9965476,1.87213
9156,214.9829516,52.9357996,2.05446
9211,215.1741079,53.0734897,1.632
9238,215.0777875,53.0065121,1.74226
9413,215.0612039,53.0035121,1.39062
11088,214.9342063,52.8263678,3.30299
11580,214.9571398,52.8723687,3.22898
11699,214.8977231,52.8361155,3.30223
11903,215.1619465,53.0337479,3.10962
12286,214.9907912,52.9350279,2.95618
12308,214.9743451,52.9246084,3.44558
12507,214.9868591,52.9446488,3.32181
13980,215.2256288,53.028867,3.34831
16406,215.0325153,52.8975107,2.77199
16551,215.1268573,52.9680831,2.57264
16991,214.9414977,52.8505574,2.54117
17056,215.0956225,52.9617521,2.73664
17186,215.1428364,52.9981411,2.11471
17264,215.2223431,53.0568435,2.02239
17425,214.986914,52.8953471,2.40409
17463,215.1358658,53.0018255,2.30336
17496,214.9902697,52.8995161,2.37423
18294,214.988628,52.9229215,2.63665
19179,215.0497743,52.9919114,2.71438
23542,215.1484165,52.9551591,1.27842
26594,215.1211346,52.9843726,1.40751
26836,214.9074844,52.8366454,2.01086
27063,215.2167235,53.0578549,1.59506
27182,215.0494545,52.9419542,2.48971
28886,214.9091161,52.8657833,1.67519
29756,215.0664836,52.9886209,1.24048
29775,214.9734594,52.9224645,1.06057
30715,215.0250634,52.9719759,1.89684
31075,215.0435549,52.9899173,1.28379
36119,214.9309198,52.8257515,1.91238
37597,215.0821113,52.9986764,1.41671
39481,214.9940615,53.0016763,1.63351
40380,215.2186493,53.0329311,-9.0
